Sentence,Sentiment
"On the following workday customers can check from their home computers how their purchases are divided between different ingredient groups , how much energy various products contain and what is the nutritional content of all purchases .",neutral
Okmetic has used the furnaces for the contract manufacturing of solar crystals .,neutral
"Nevertheless , the development can not be allowed to ruin the print newspaper , which continues to be Sanoma News ' main medium .",neutral
"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",neutral
Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK .,neutral
Results are expected late in 2006 .,neutral
"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",neutral
fi is developing cooperation in keyword advertising with Microsoft .,neutral
"The contract value amounts to about EUR11m , the company added .",neutral
"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.2 percent from 23.91 percent , as beer sales for the nine months jumped by 11.4 percent to 52.99 million liters .",positive
"A total of 185 Wonderware Certified SIs are available to integrate and support Wonderware products such as InTouch -« HMI software , IndustrialSQL Server historian , Wonderware Information Server , DT Analyst software or QI Analyst SPC software .",neutral
Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland .,neutral
"The company 's goal is to achieve annual savings of EUR 2 million ( USD 2.7 m ) , of which two thirds are to be realized in 2010 .",neutral
"The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex .",neutral
"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time .",positive
"FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .",neutral
Return on investment was 16.6 % compared to 15.8 % in 2004 .,neutral
"The OMX Helsinki 25 ended 0.47 pct lower at 3,150.55 and the OMX Helsinki was down 0.21 pct at 10,736.42 on 1.523 bln eur turnover .",neutral
"The decision of Tekes was based on , among other , the following grounds : the project has a significant impact on the business development of the company .",neutral
STUK today is a full service house expert in radiation and nuclear safety issues .,neutral
"In April 2005 , Neste separated from its parent company , Finnish energy company Fortum , and became listed on the Helsinki Stock Exchange .",neutral
"Finnish Bank of +àland reports operating profit of EUR 2.2 mn in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 .",negative
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive
Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB,positive
`` Fixed Mobile Convergence solutions represent a key value proposition in today 's communication market .,neutral
"Most of the growth in beer consumption took place in the Far East , Latin America and Africa .",positive
"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",positive
He is resting comfortably and is looking forward to getting back to work . '',positive
"The E7 smartphone will be available for Rs35 ,000 per handset across India , '' Nokia India vice-president & managing director D Shivakumar told reporters .",neutral
Stockmann was established in 1862 in Finland and it became the first foreign company to enter Russia 's retail trade market in 1989 .,neutral
"Operating loss totalled EUR 0.3 mn , down from a profit of EUR 5.1 mn in the first half of 2009 .",negative
"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .",neutral
$RNN More bleeding Monday.,neutral
"Nordstjernan will make the offer in approximately one month , in September 2007 .",neutral
"So Mr. Galvan made savings adjustments of his own , buying less liquor and watching portion sizes .",neutral
"The parties have agreed not to disclose the price of the deal , the group said in a press release .",neutral
"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",neutral
"Liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories .",neutral
Antniemi refuted a report by the Finnish daily Turun Sanomat as if the company was reorganizing its operations in the Baltic countries .,neutral
"PNC, Goldman Sachs Receive Dividend Hike Green Light (But Don't Act): http://stks.co/2pa7 $PNC $GS",positive
"Following the payment made in April , the company has a total of EUR 23.0 million in loans from financial institutions .",neutral
"These companies own a 20,000 sq. m. office and commercial building and substantial amount of building right for a new shopping center in Liljeholmen , Stockholm .",neutral
Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .,positive
"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",positive
"The utility will also provide services related to electricity management , such as hedging trades and risk management and reporting .",neutral
"$KO had missed earnings expectations for the last two quarters, so todays strong results came as a major surprise http://stks.co/d0RHF",positive
Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. .,neutral
"Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will buy the former production facilities of Kuitu Finland Ltd , as part of negotiations on the option to invest in specialty cellulose fiber business .",neutral
"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .",positive
"Simultaneously with this merger plan another merger plan has been signed , according to which Suomen Projektivuokraus Oy , a subsidiary of VTM-Rakennuskonevuokraamo Oy , would be merged with VTM-Rakennuskonevuokraamo Oy .",neutral
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .",neutral
"`` Beyond the improved voice capabilities , customers now have a streamlined way to comply with recalls and other traceability requirements , providing them with a competitive advantage .",positive
CORRECTED-Shire to buy Dyax for about $5.9 bln,positive
"It also includes the installation of new equipment , training and start-up services , as well as service work of the shoe press delivered by Vaahto in 2001 .",neutral
Nokia is also negotiating the product portfolio of the new company .,neutral
Glencore slumps 30 percent as debt fears grow,positive
The value of the order is EUR 4mn .,neutral
The company said that it has agreed to a EUR160m unsecured credit line from lenders .,neutral
"The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option .",neutral
$BBRY Sierra. Has a great cash balance and impressive growth rate.Would be a wonderful marriage!,positive
"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .",positive
"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .",neutral
"Neste Oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day .",neutral
The net sales decreased to EUR 49.8 million from EUR 59.9 million .,neutral
"In 2007 , Etteplan had turnover of EUR125 .2 m.",neutral
Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .,positive
"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 .",negative
The size of a cider bottle will remain unchanged .,neutral
Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .,neutral
Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .,neutral
EBIT excluding non-recurring items was estimated to increase from 2009 .,positive
What we think ?,neutral
Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,neutral
"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .",neutral
No financial details were provided .,neutral
Tesco share price tumbles after negative broker note,positive
"According to Finnish L+ñnnen Tehtaat 's CEO Matti Karppinen , now that L+ñnnen Tehtaat has sold the majority of its feed and grain business , it will quickly start to look for acquisitions .",neutral
"Finnish IT consultancy Satama Interactive Oyj said on November 13 , 2006 that Jarmo Lonnfors took up the position of CEO .",positive
"According to the company , the lay-offs will be temporary .",neutral
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",negative
Rihko started to manage Raisio 's Benecol business in summer 2006 after heading tobacco company Altadis ' European operations .,neutral
The Financial Statements and Interim Reports will be released around at 9.00 a.m. ( Finnish time ) on the given dates .,neutral
"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia .",neutral
"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier .",neutral
"The talks involved the Food and Ingredients Divisions , as well as group service functions , the company said .",neutral
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,neutral
"Outokumpu of Finland , stainless steel manufacturer , plans to enter into a supply agreement with the Indian Railways .",neutral
Shire share price under pressure after $32bn Baxalta deal,positive
"However , he expects banks to provide alternative financing .",neutral
"It would be premature to talk about dates , volume and the investment procedure , '' he said .",neutral
"The Russian government will contribute 20 % of the necessary funds , he said .",neutral
We are now in a position to pursue novel clinical candidates going forward . '',neutral
Cymed 's net sales are expected to amount to EUR 3.5 mn in 2006 .,neutral
"Operating profit decreased to nearly EUR 1.7 mn , however .",neutral
"Following the acquisitions , Panostaja will establish a new business unit which will focus on heat treatment of metals .",neutral
"Finland 's Neste Oil has been awarded the Chemical Industry Federation of Finland 's Innovation Award for its NExBTL technology , which enables biodiesel to be produced from vegetable oil and animal fat .",neutral
The Finnish paints company acquired the remaining 49 pct that it did not own from Ukraine 's LGU for an undisclosed sum .,neutral
Atria will also buy the shares of Kauhajoen Teurastamokiinteistot Oy (Kauhajoki slaughterhouse property)from Itikka Co-operative .,positive
Terms of the acquisition were not disclosed .,neutral
"Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows .",neutral
"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",neutral
RSA Insurance Hires Towergate's Egan as Chief Financial Officer,neutral
"Via the move , the company aims annual savings of some EUR 3 million USD 4.3 m , the main part of which are expected to be realized this year .",neutral
"However , the bottom-line result improved thanks to positive financial items .",positive
$NFLX +3% of the lows,positive
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,neutral
"Ahlstrom , headquartered in Helsinki , Finland , is a global leader in the development , manufacture and marketing of high performance fibre-based materials .",neutral
$DMND green and moving,neutral
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",neutral
The value of this kind of order amounts usually between Euro 2 and 3 million .,neutral
"The cosmetics collection includes an eye shadow , face powder , lip gloss , mascara and accessories .",neutral
The increase range will vary up to 10 % .,positive
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,neutral
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,negative
The company then said it will focus its resources on clinical research .,neutral
Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,neutral
"The Tekla Structures 16 installation has been built according to Microsoft 's requirements for the Windows 7 certification , the Company added .",neutral
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,positive
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,negative
Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,neutral
"In 2007 , Huhtamaki will continue to invest in organic growth .",neutral
"The Daily Graphic newspaper , in October , reported an initiative being embarked upon by the Fidelity Bank to partner Ghana Post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country .",neutral
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland .",neutral
"Of these shares 14,747,084 are held by the Company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161,256,847 .",neutral
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",neutral
$AMRN Got sell signal 7/1/14 still in force with target below 1.50,positive
"Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today .",neutral
"ALEXANDRIA , Va. , Oct. 6 -- United States Patent no. 7,804,288 , issued on Sept. 28 , was assigned to Vacon Oyj ( Vaasa , Finland ) .",neutral
Finnish food industry companies HK Ruokatalo and Atria will form a joint venture company called L+ñnsi-Kalkkuna to produce turkey meat .,neutral
"Its annual capacity is some 10,000 MW .",neutral
"S&P has kept its `` sell '' rating , while Nordea and UBS have reaffirmed their `` buy '' recommendations .",positive
Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .,positive
"Revenue from July to September grew 21 percent to EURO 2.3 billion , the Finnish company said Thursday .",positive
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive
$KCG bot at 2.24,neutral
"In Finland , the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .",neutral
"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .",neutral
The Finnish group anticipates a sales gain of EUR42m after tax and expenses .,positive
"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",neutral
"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",neutral
CompaniesKingfisher bid for Mr Bricolage runs into trouble,neutral
"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",neutral
The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .,neutral
The investment would be some EUR5m .,neutral
"According to Finnish insurance companies Tapiola , Local Insurance Group ( L+ñhivakuutus ) , and Pohjola the two fierce storms at the end of July and in the beginning of August 2010 that felled trees around Finland have speeded up sales of forest insurance .",neutral
$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,positive
In Sweden the agreement covers data communication services as well .,neutral
$KEP breaking out when the market pulls back  http://stks.co/r0cet,positive
"The latest date for registration is on 4 April , 2006 .",neutral
Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives .,neutral
"Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007 .",negative
The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .,positive
Metso 's delivery will include a complete coated board line with related air systems and two winders .,neutral
The reductions will be concluded by autumn 2010 .,neutral
The company also said that its board of directors has proposed a profit distribution of EUR0 .92 per share .,neutral
$MPWR CEO sells 450k april 15th..meh,neutral
"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) .",neutral
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,positive
"$HLF shorts made a killing last couple days, might make more if cover and buy back?",positive
"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",negative
Chief Financial Officer Jim Heindlmeyer said Beyond Oblivion is in advanced talks with the four major recording companies about its service .,neutral
"In addition , the production at the Varpaisj+â rvi factory will be stopped at the beginning of April 2009 .",neutral
E 's building system service had revenue of EUR 355 mln in 2007 .,neutral
Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .,positive
"Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday .",neutral
"The product range includes marinated olives , cold cuts , and pates , for example .",neutral
